aX,aY,aZ,gX,gY,gZ
-0.214,-0.105,1.042,-10.254,-40.894,57.617
-0.237,-0.024,1.060,-21.179,-33.447,46.814
-0.257,0.093,1.054,-29.297,-22.705,35.583
-0.278,0.209,1.055,-31.860,-10.315,25.513
-0.270,0.273,1.055,-30.396,0.977,18.433
-0.242,0.294,1.059,-23.743,10.986,13.672

0.098,-1.673,1.680,164.612,-63.904,-248.474
-0.085,-2.159,1.569,206.116,-98.511,-342.834
-0.584,-2.257,1.144,220.520,-113.403,-414.429
-1.331,-1.947,0.709,191.101,-90.698,-435.242
-2.056,-1.426,0.484,115.723,-32.349,-377.136
-2.208,-0.822,0.719,12.573,41.748,-233.215
-1.698,-0.511,1.132,-68.359,107.971,-37.170
-1.142,-0.381,1.199,-87.036,145.996,157.593
-0.761,-0.250,1.071,-81.909,152.832,317.810
-0.695,0.184,0.863,-101.807,136.047,427.734
-0.667,0.734,0.767,-145.752,108.948,491.821
-0.444,1.279,0.779,-188.660,83.313,516.663
-0.337,1.737,0.636,-208.618,62.378,500.488
-0.327,2.416,0.583,-191.345,44.739,439.880
-0.165,3.071,0.535,-125.244,26.611,350.159
-0.058,3.403,0.409,-35.400,10.010,254.089
-0.015,3.160,0.281,56.946,3.235,158.752
-0.057,2.607,0.103,135.925,12.268,60.730
-0.135,2.078,0.096,188.049,34.912,-40.771
-0.125,1.676,0.269,209.351,58.411,-136.353
0.031,1.187,0.363,210.144,70.923,-213.623
0.243,0.553,0.449,200.623,68.420,-270.386
0.396,-0.201,0.493,189.636,51.697,-313.354
0.492,-1.048,0.495,182.495,26.184,-350.464
0.493,-1.950,0.519,169.495,0.244,-381.409
0.305,-2.767,0.511,138.062,-25.818,-405.579
-0.035,-3.154,0.559,72.388,-54.810,-414.490
-0.607,-3.068,0.818,-18.799,-88.135,-387.390
-1.195,-2.570,1.175,-104.248,-125.610,-307.007
-1.623,-1.791,1.385,-151.733,-158.386,-172.485
-1.762,-1.149,1.440,-161.499,-169.861,0.244
-1.668,-0.717,1.381,-147.034,-150.574,175.110
-1.498,-0.263,1.404,-132.629,-108.215,314.148
-1.474,0.240,1.349,-129.028,-56.580,399.353
-1.448,0.740,1.349,-137.451,-4.578,432.190
-1.299,1.283,1.290,-155.396,41.138,418.213
-0.947,1.857,1.134,-190.002,77.637,367.004
-0.421,2.331,1.026,-218.872,108.398,283.752
0.005,2.610,0.753,-209.351,133.606,174.072
0.038,2.553,0.415,-136.719,153.870,60.303
0.061,2.472,0.523,-10.620,168.091,-44.861
0.072,1.946,0.587,89.661,164.978,-126.953
0.101,1.171,0.472,159.546,147.461,-191.162
0.146,0.262,0.473,218.872,124.695,-245.789
0.199,-0.677,0.623,263.245,96.741,-291.199
0.261,-1.520,0.600,291.687,65.674,-325.500
0.220,-2.200,0.333,281.494,41.565,-344.360
0.150,-2.656,0.146,214.661,24.597,-340.271
0.157,-2.650,0.434,89.905,4.456,-302.856
-0.027,-2.182,0.671,-39.490,-29.358,-228.821
-0.514,-1.326,0.785,-115.601,-62.744,-109.985
-0.847,-0.493,0.911,-160.522,-90.820,40.649
-0.930,0.137,0.991,-185.181,-112.854,193.237
-0.878,0.720,1.119,-199.951,-123.901,316.833
-0.804,1.354,1.285,-211.487,-124.268,392.029
-0.756,1.879,1.520,-209.961,-117.493,414.551
-0.676,2.118,1.588,-175.110,-106.445,378.235
-0.193,2.196,1.366,-89.783,-88.440,279.602
-0.189,1.663,1.030,14.526,-54.932,146.362
-0.431,1.018,0.491,98.938,-6.653,10.010
-0.365,0.638,0.709,187.561,50.171,-122.375
-0.301,-0.162,0.696,228.394,92.712,-215.393
-0.200,-1.119,0.651,223.755,120.483,-273.437
-0.027,-1.705,0.721,190.247,135.925,-314.575
0.151,-1.881,0.743,121.216,133.423,-328.796
0.129,-1.725,0.657,31.677,112.732,-300.232
-0.023,-1.319,0.761,-51.941,78.186,-220.276
-0.175,-0.695,0.903,-107.788,33.264,-100.403
-0.223,-0.255,1.093,-125.549,-15.808,32.471
-0.312,0.216,1.041,-106.018,-57.800,157.593
-0.376,0.749,1.206,-107.178,-93.018,256.958
-0.319,1.227,1.416,-115.601,-121.826,317.871
-0.293,1.524,1.603,-111.084,-138.367,331.238
-0.431,1.404,1.397,-70.496,-139.954,286.926
-0.604,1.122,0.947,7.019,-118.469,182.922
-0.477,1.004,0.798,93.018,-66.406,46.631
-0.394,0.741,0.741,135.925,0.977,-72.083
-0.391,0.283,0.734,144.531,63.721,-152.405
-0.323,-0.330,0.811,150.391,110.168,-203.369
-0.176,-1.045,0.953,146.667,134.949,-235.657
0.010,-1.540,1.091,128.296,136.780,-254.883
0.094,-1.731,1.121,85.510,114.075,-252.686
-0.044,-1.582,0.970,24.963,72.876,-214.722
-0.239,-1.190,0.861,-30.212,27.893,-136.230
-0.318,-0.566,0.919,-74.219,-11.963,-30.884
-0.298,-0.024,0.899,-98.511,-43.640,81.360
-0.402,0.531,0.894,-112.732,-61.768,186.279
-0.444,1.145,1.000,-133.789,-70.007,260.620
-0.289,1.701,1.159,-143.005,-74.036,299.194
-0.030,1.999,1.152,-126.526,-71.228,298.950
-0.185,1.786,0.977,-80.444,-59.326,252.563
-0.408,1.272,0.643,2.441,-38.269,159.912
-0.312,0.838,0.550,94.177,-10.559,38.086
-0.160,0.270,0.633,161.560,18.494,-78.735
-0.081,-0.533,0.599,199.219,48.828,-168.091
-0.064,-1.307,0.740,207.764,78.918,-235.657
-0.056,-1.749,1.015,174.927,96.191,-288.086
-0.169,-1.821,0.999,100.952,91.431,-315.796
-0.438,-1.600,0.776,12.268,70.068,-302.734
-0.377,-1.261,0.549,-69.092,45.532,-239.075
-0.548,-0.219,1.116,-148.865,21.545,-144.775
-0.438,0.167,1.101,-152.100,0.427,-25.574
-0.549,0.808,1.030,-123.718,-13.550,99.243
-0.529,1.214,1.225,-118.103,-26.306,201.355
-0.322,1.329,1.372,-105.652,-39.368,263.855
-0.085,1.120,1.409,-69.763,-46.143,275.635
-0.046,0.667,1.177,-12.329,-42.542,235.107
-0.103,0.052,0.956,56.946,-25.696,152.954
-0.081,-0.458,0.797,116.089,1.282,50.110
-0.040,-0.783,0.858,141.663,33.264,-47.363
-0.083,-0.904,0.874,131.470,60.181,-122.559
-0.138,-0.875,0.852,88.379,75.073,-165.527
-0.188,-0.649,0.839,24.414,79.102,-174.805
-0.234,-0.290,0.857,-35.400,74.524,-150.085
-0.278,0.083,0.933,-73.425,63.477,-96.802
-0.256,0.356,1.074,-84.900,47.668,-26.001
-0.210,0.410,1.207,-69.397,28.381,41.626
-0.156,0.351,1.181,-35.034,7.324,89.966
-0.105,0.220,1.148,-0.427,-9.155,114.197

-0.455,1.321,0.984,-89.905,5.615,114.075
-0.268,1.375,1.015,-65.002,9.827,104.919
-0.037,1.372,1.019,-29.297,13.306,90.942
0.165,1.190,0.988,9.583,16.174,65.125
0.296,0.805,0.964,49.377,18.311,19.897
0.372,0.173,0.962,91.614,16.418,-46.448
