aX,aY,aZ,gX,gY,gZ
-0.709,0.960,0.082,17.456,146.057,-216.980
-0.712,0.835,-0.043,26.123,139.832,-226.624
-0.717,0.717,-0.183,31.921,135.315,-234.985
-0.689,0.584,-0.289,33.936,130.432,-240.295
-0.668,0.480,-0.346,28.809,121.643,-243.469
-0.623,0.398,-0.385,15.686,107.178,-244.751
-0.570,0.338,-0.408,3.540,88.989,-245.605
-0.505,0.283,-0.415,-5.798,69.153,-246.399
-0.462,0.221,-0.432,-12.024,49.500,-247.986
-0.429,0.156,-0.434,-13.733,32.410,-250.244
-0.406,0.090,-0.421,-13.367,17.761,-251.770
-0.393,0.019,-0.414,-11.353,4.333,-251.343
-0.391,-0.081,-0.434,-7.446,-8.423,-248.047
-0.369,-0.194,-0.442,-4.272,-21.790,-241.150
-0.313,-0.293,-0.440,-4.822,-37.476,-230.774
-0.248,-0.396,-0.439,-7.935,-55.847,-218.689
-0.164,-0.518,-0.466,-9.277,-74.097,-206.787
-0.070,-0.657,-0.472,-9.766,-90.881,-196.350
0.019,-0.780,-0.414,-13.794,-108.459,-187.927
0.083,-0.878,-0.340,-20.081,-128.906,-182.434
0.127,-0.974,-0.261,-26.245,-151.489,-178.772
0.138,-1.041,-0.130,-31.189,-173.950,-175.110
0.112,-1.108,0.007,-31.372,-196.167,-170.715
0.054,-1.199,0.101,-26.062,-216.919,-165.100
-0.019,-1.293,0.192,-21.606,-234.375,-157.227
-0.047,-1.361,0.349,-23.499,-248.657,-143.921
-0.091,-1.401,0.519,-32.776,-261.230,-124.084
-0.127,-1.410,0.729,-45.471,-269.775,-99.731
-0.150,-1.369,0.955,-55.298,-273.071,-73.547
-0.182,-1.334,1.165,-59.570,-271.973,-46.753
-0.220,-1.308,1.335,-59.082,-266.907,-21.057
-0.261,-1.273,1.494,-55.542,-258.362,1.770
-0.298,-1.222,1.655,-52.002,-247.803,22.827
-0.318,-1.152,1.862,-51.208,-237.366,42.725
-0.331,-1.006,2.078,-53.711,-229.187,60.852
-0.364,-0.871,2.200,-55.115,-221.558,77.942
-0.424,-0.768,2.242,-52.734,-207.336,93.811
-0.454,-0.658,2.267,-48.279,-183.838,107.666
-0.460,-0.562,2.271,-42.419,-154.053,119.080
-0.487,-0.476,2.226,-35.950,-123.657,129.150
-0.499,-0.366,2.182,-31.433,-96.252,139.709
-0.496,-0.209,2.143,-30.212,-74.951,151.306
-0.471,-0.016,2.123,-34.302,-59.387,164.978
-0.409,0.180,2.117,-41.260,-45.837,179.199
